FIPS,HomePriceGrowth19to20,HomePriceGrowth18to19,HomePriceGrowth17to18,HomePriceGrowth17to19,HomePrices2019,Population,TotalCasesPercent,TotalDeathsPercentPopulation,MaskUse,ClintonVoteShare,StateLocalTax,JanAvgTemperature,RuralUrbanCode
5109,0.039,0.037,0.028,0.066,0.086,0.011,0.085,0.002,0.677,0.172,0.113,44.8,9
5111,0.042,0.076,0.082,0.164,0.061,0.024,0.128,0.003,0.684,0.243,0.113,43.3,3
5113,0.022,0.043,0.050,0.095,0.096,0.02,0.089,0.003,0.522,0.147,0.113,43.8,7
5115,0.007,0.058,0.046,0.107,0.132,0.064,0.115,0.001,0.587,0.222,0.113,41.6,5
5117,0.093,0.068,0.070,0.143,0.068,0.008,0.104,0.003,0.664,0.236,0.113,45,8
5119,0.041,0.009,0.025,0.034,0.144,0.392,0.091,0.001,0.819,0.561,0.113,43.9,2
5121,0.031,0.049,0.033,0.083,0.086,0.018,0.106,0.003,0.600,0.223,0.113,40.7,7
5123,0.008,0.048,0.050,0.101,0.049,0.025,0.135,0.001,0.617,0.543,0.113,45.1,6
5125,0.079,0.023,0.003,0.025,0.223,0.122,0.089,0.001,0.736,0.254,0.113,44.1,2
5127,0.048,0.060,0.027,0.088,0.078,0.01,0.088,0.001,0.581,0.172,0.113,43.6,6
5129,0.033,0.091,0.130,0.233,0.091,0.008,0.080,0.002,0.687,0.161,0.113,40.2,9
5131,0.053,0.041,0.035,0.078,0.125,0.128,0.109,0.002,0.580,0.276,0.113,43.9,2
5133,0.059,0.043,0.038,0.083,0.097,0.017,0.145,0.001,0.632,0.236,0.113,46.6,6
5135,0.054,0.050,0.038,0.090,0.085,0.017,0.085,0.003,0.555,0.203,0.113,40.3,7
5137,0.027,0.027,0.065,0.094,0.111,0.013,0.075,0.002,0.732,0.214,0.113,40.8,9
5139,0.040,0.043,0.058,0.104,0.082,0.039,0.091,0.002,0.606,0.347,0.113,48.3,7
5141,0.009,0.034,0.031,0.066,0.094,0.017,0.071,0.001,0.811,0.211,0.113,41,8
5143,0.070,0.046,0.072,0.122,0.196,0.239,0.119,0.001,0.837,0.408,0.113,40.3,2
5145,0.044,-0.022,0.043,0.020,0.12,0.079,0.087,0.001,0.768,0.190,0.113,43.6,4
5147,-0.026,0.051,0.081,0.135,0.045,0.006,0.094,0.001,0.685,0.435,0.113,43.9,9
5149,0.037,0.050,0.026,0.078,0.084,0.021,0.150,0.003,0.672,0.230,0.113,43.5,6
6001,0.093,-0.019,0.064,0.043,0.87,1.671,0.046,0.001,0.918,0.787,0.089,48.7,1
6003,-0.012,-0.003,0.053,0.050,0.427,0.001,0.069,0.000,0.802,0.555,0.089,33.7,8
6005,0.006,0.015,0.038,0.054,0.344,0.04,0.083,0.001,0.843,0.339,0.089,44.7,6
6007,0.024,0.136,0.063,0.208,0.34,0.219,0.048,0.001,0.830,0.435,0.089,45.9,3
6009,0.104,0.032,0.026,0.059,0.335,0.046,0.040,0.001,0.838,0.343,0.089,45.1,6
6011,0.027,0.027,0.046,0.074,0.244,0.022,0.093,0.001,0.851,0.401,0.089,46.8,6
6013,0.079,-0.007,0.045,0.037,0.716,1.154,0.051,0.000,0.927,0.685,0.089,48.7,1
6015,-0.010,0.039,0.013,0.052,0.266,0.028,0.032,0.000,0.743,0.365,0.089,40.9,7
6017,0.147,-0.001,0.038,0.037,0.469,0.193,0.045,0.000,0.858,0.389,0.089,41.8,1
6019,0.105,0.035,0.067,0.104,0.266,0.999,0.091,0.001,0.897,0.501,0.089,41.8,2
